,Unnamed: 0,time,words
0,0,2024-09-04 03:39:11.243529,2797
1,1,2024-09-04 03:59:59.545325,5080
2,2,2024-09-04 04:01:57.097803,5275
3,3,2024-09-04 04:04:03.303378,5494
4,4,2024-09-04 04:27:01.455322,7925
5,5,2024-09-04 10:17:27.961462,42386
6,6,2024-09-04 18:19:09.468254,88028
7,7,2024-09-04 21:32:38.474110,105108
8,8,2024-09-04 22:46:44.017100,112924
9,9,2024-09-04 22:51:41.540499,113322
10,10,2024-09-05 01:22:43.721876,140731
11,11,2024-09-05 02:21:08.077314,133285
12,12,2024-09-05 02:21:42.034499,133479
13,13,2024-09-05 02:22:06.498294,139114
14,14,2024-09-05 10:27:35.827533,297894
15,15,2024-09-05 13:00:33.854201,344353
16,16,2024-09-05 15:18:45.595114,388956
17,17,2024-09-05 16:38:05.537397,415206
18,18,2024-09-05 18:10:36.414338,445317
19,19,2024-09-05 18:34:41.318896,453529
20,20,2024-09-05 20:29:30.904404,491091
21,21,2024-09-05 20:31:47.169601,491629
22,22,2024-09-05 21:18:32.007549,501795
23,23,2024-09-05 21:19:06.089280,501919
24,24,2024-09-05 23:30:27.051452,538220
25,25,2024-09-06 01:50:14.380554,591875
26,26,2024-09-06 03:08:55.746797,618574
27,27,2024-09-06 03:29:16.451908,625122
28,28,2024-09-06 11:26:19.008224,787274
29,29,2024-09-06 20:42:26.493616,949023
30,30,2024-09-06 22:08:49.901711,965050
31,31,2024-09-06 23:00:50.864151,967899
32,32,2024-09-06 23:16:05.986077,971192
33,33,2024-09-07 00:19:00.713211,982676
34,34,2024-09-07 01:51:17.121875,1000043
35,35,2024-09-07 02:29:46.695313,1007564
36,36,2024-09-07 04:01:54.839772,1025983
37,37,2024-09-07 13:37:25.904004,1147619
38,38,2024-09-07 14:32:09.420502,1177171
39,39,2024-09-07 15:48:50.491268,1219186
40,40,2024-09-07 18:37:02.301399,1313814
41,41,2024-09-07 19:00:15.590991,921259
42,42,2024-09-07 19:28:40.467165,923838
43,43,2024-09-07 20:10:45.024095,945150
44,44,2024-09-07 20:44:59.766161,965667
45,45,2024-09-07 22:58:03.627037,1037719
46,46,2024-09-08 00:45:15.547133,1097644
47,47,2024-09-08 01:27:42.295595,1120360
48,48,2024-09-08 02:43:12.262324,1163178
49,49,2024-09-08 03:26:24.845758,1187514
50,50,2024-09-08 12:18:39.588463,1392578
51,51,2024-09-08 15:03:32.067289,1438353
52,52,2024-09-08 15:20:08.897294,1439466
53,53,2024-09-08 15:20:28.299216,1439466
54,54,2024-09-08 15:24:34.927878,1439466
55,55,2024-09-08 15:24:51.174113,1439644
56,56,2024-09-08 18:44:17.549986,1569725
57,57,2024-09-08 21:25:15.333845,1673967
58,58,2024-09-08 23:16:13.491902,1750643
59,59,2024-09-08 23:18:57.063527,1753112
60,60,2024-09-09 02:17:03.670219,1867000
61,61,2024-09-09 02:31:46.064167,1876463
62,62,2024-09-09 02:55:32.219438,1887834
63,63,2024-09-09 02:56:52.305583,1888307
64,64,2024-09-09 10:21:30.943139,2339722
65,65,2024-09-09 10:23:07.551068,2451694
66,66,2024-09-09 10:24:01.390395,2452763
67,67,2024-09-09 18:26:42.983130,2775057
68,68,2024-09-09 18:28:41.901795,2775057
69,69,2024-09-09 20:50:41.321271,2775057
70,70,2024-09-09 20:53:15.948612,3011908
71,71,2024-09-09 20:54:25.806700,3011908
72,72,2024-09-09 21:55:00.364971,3050770
73,73,2024-09-09 23:13:58.375394,3132583
74,74,2024-09-09 23:16:28.878078,3134461
75,75,2024-09-10 10:06:46.964344,3693835
76,76,2024-09-10 10:07:51.499152,3695834
77,77,2024-09-10 10:15:08.582907,3926454
78,78,2024-09-10 22:15:55.741515,4438979
79,79,2024-09-10 22:23:46.794051,4438979
80,80,2024-09-11 19:53:01.054357,4857494
